model,features,auc,acc,f1,mode
LSTM,Sentiment,0.5170032168248047,0.51681706316653,0.5147270034827898,UP/DOWN
LSTM,,0.5230624712783499,0.5324036095159967,0.3474304068522484,UP/DOWN
LSTM_AA,Sentiment,0.5301460222890124,0.5272579332790887,0.421243915980758,UP/DOWN
LSTM_AA,,0.526843897119451,0.532953620829943,0.3476645435244161,UP/DOWN
LSTM_DA,Sentiment,0.550825863765726,0.532953620829943,0.3476645435244161,UP/DOWN
LSTM_DA, ,0.5426297310955661,0.532953620829943,0.3476645435244161,UP/DOWN
MLP,Sentiment,0.536375274274459,0.532626427406199,0.3475252794039383,UP/DOWN
MLP, ,0.5333218412000994,0.532626427406199,0.3475252794039383,UP/DOWN
RF,Sentiment,0.5017841762027808,0.5099009900990099,0.4972850678733032,UP/DOWN
RF, ,0.5024035109306427,0.4909240924092409,0.4798301353283042,UP/DOWN
